lemma,n,pos,grc,en,ja,fr,usg_ja,usg_en,cdo
ⲁⲓⲱⲛ,1,N,Y,aeon (αἰών),アイオーン(αἰών),"éon, âge (αἰών)",,,
ⲁⲗⲏⲑⲉⲓⲁ,1,N,Y,truth (ἀλήθεια),真理(ἀλήθεια),vérité (ἀλήθεια),,,
ⲁⲗⲗⲁ,1,CONJ,Y,but (ἀλλά),しかし(ἀλλά),mais (ἀλλά),,,
ⲁⲙⲁϩⲧⲉ,1,V,,"grasp, hold, rule over",掌握する・支配する,"saisir, tenir, dominer",,,
ⲁⲛ,1,NEG,,not (negation),～ない(否定),ne … pas (négation),,,
ⲁⲛⲁⲡⲁⲩⲥⲓⲥ,1,N,Y,"rest, repose (ἀνάπαυσις)",安息(ἀνάπαυσις),repos (ἀνάπαυσις),,,
ⲁⲛⲁⲣⲭⲟⲥ,1,ADJ,Y,without beginning (ἄναρχος),無始の(ἄναρχος),sans commencement (ἄναρχος),,,
ⲁⲛⲧⲓⲧⲩⲡⲟⲥ,1,N,Y,antitype (ἀντίτυπος),対型(ἀντίτυπος),antitype (ἀντίτυπος),,,
ⲁⲛⲧⲓⲧⲩⲡⲱ,1,N,Y,antitype (ἀντίτυπος),対型(ἀντίτυπος),antitype (ἀντίτυπος),,,
ⲁⲛⲧⲟⲡⲓⲧⲱ,1,N,Y,antitype (var. ἀντίτυπος),対型(異形),antitype (var. ἀντίτυπος),,,
ⲁⲡⲉⲣⲁⲛⲧⲟⲛ,1,ADJ,Y,"boundless, infinite (ἀπέραντον)",無限の(ἀπέραντον),"illimité, infini (ἀπέραντον)",,,
ⲁⲡⲉⲣⲁⲛⲧⲟⲥ,1,ADJ,Y,boundless (ἀπέραντος),無限の(ἀπέραντος),illimité (ἀπέραντος),,,
ⲁⲡⲓⲣⲟⲛ,1,ADJ,Y,infinite (ἄπειρον),無限の(ἄπειρον),infini (ἄπειρον),,,
ⲁⲡⲟⲫⲁⲥⲓⲥ,1,N,Y,declaration (ἀπόφασις),宣告(ἀπόφασις),déclaration (ἀπόφασις),,,
ⲁⲣⲏϫ,1,N,,"end, limit",果て・限界,"extrémité, limite",,,
ⲁⲣⲭⲁⲅⲅⲉⲗⲟⲥ,1,N,Y,archangel (ἀρχάγγελος),大天使(ἀρχάγγελος),archange (ἀρχάγγελος),,,
ⲁⲣⲭⲉⲥⲑⲁⲓ,1,V,Y,begin (ἄρχεσθαι),始まる(ἄρχομαι),commencer (ἄρχεσθαι),,,
ⲁⲣⲭⲏ,1,N,Y,"beginning, rule (ἀρχή)",始原・支配(ἀρχή),"commencement, principe (ἀρχή)",,,
ⲁⲣⲭⲓ,1,V,Y,"begin, rule (ἄρχω)",始める・支配する(ἄρχω),"commencer, gouverner (ἄρχω)",,,
ⲁⲣⲭⲓⲅⲉⲛ,1,N,Y,Arch-begetter [pt.] (ἀρχι-),原初産出(部分),Arché-engendreur (ἀρχι-) [partie],,,
ⲁⲣⲭⲱⲛ,1,N,Y,"ruler, archon (ἄρχων)",支配者・アルコーン(ἄρχων),archonte (ἄρχων),,,
ⲁⲥ,1,PRET,,she did (perfect),彼女は～した,elle fit (parfait),,,
ⲁⲥⲡⲁⲉ,1,V,Y,"greet, embrace (ἀσπάζομαι)",挨拶する(ἀσπάζομαι),"saluer, embrasser (ἀσπάζομαι)",,,
ⲁⲧ,1,PFX,,"un-, -less (privative)",無～・非～(否定接頭),"sans-, in- (privatif)",,,
ⲁⲧϣⲁϫⲉ,1,ADJ,,"ineffable, unspeakable",言い表せない,ineffable,,,
ⲁⲧϯⲥⲃⲱ,1,ADJ,,"untaught, without instruction",教えられざる,qui n'a pas besoin d'être enseigné,,,
ⲁⲧⲧⲁⲕⲟ,1,ADJ,,"imperishable, incorruptible",不滅の,"impérissable, incorruptible",,,
ⲁⲩ,1,PRET,,they did (perfect),彼らは～した,ils ont (parfait),,,
ⲁⲩⲧⲟⲅⲉⲛⲏⲥ,1,N,Y,Self-begotten (αὐτογενής),自生者(αὐτογενής),auto-engendré (αὐτογενής),,,
ⲁⲩⲧⲟⲅⲉⲛⲛⲏⲧⲟⲥ,1,N,Y,Self-begotten (αὐτογέννητος),自生者(αὐτογέννητος),auto-engendré (αὐτογέννητος),,,
ⲁⲩⲧⲟⲕⲧⲓⲥⲧⲟⲥ,1,N,Y,self-created (αὐτόκτιστος),自造者(αὐτόκτιστος),auto-créé (αὐτόκτιστος),,,
ⲁⲩⲧⲟⲡⲁⲧⲱⲣ,1,N,Y,Self-Father (αὐτοπάτωρ),自存の父(αὐτοπάτωρ),Père de soi-même (αὐτοπάτωρ),,,
ⲁⲩⲧⲟⲫⲩ,1,N,Y,self-grown [pt.] (αὐτοφυής),自成(部分),auto-éclos (αὐτοφυής) [partie],,,
ⲁⲩⲧⲟⲫⲩⲏⲥ,1,N,Y,self-grown (αὐτοφυής),自成者(αὐτοφυής),"auto-éclos, né de soi (αὐτοφυής)",,,
ⲁⲩⲱ,1,CONJ,,and,そして,et,,,
ⲁⲫⲑⲁⲣⲥⲓⲁ,1,N,Y,incorruptibility (ἀφθαρσία),不朽性(ἀφθαρσία),incorruptibilité (ἀφθαρσία),,,
ⲁⲫⲑⲁⲣⲧⲟⲥ,1,ADJ,Y,incorruptible (ἄφθαρτος),不朽の(ἄφθαρτος),incorruptible (ἄφθαρτος),,,
ⲃⲓⲟⲥ,1,N,Y,"life, livelihood (βίος)",生・生活(βίος),"vie, existence (βίος)",,,
ⲃⲟⲗ,1,N,,"outside, out",外・外側,"dehors, extérieur",,,
ⲃⲱⲕ,1,V,,"go, go away",行く・去る,"aller, s'en aller",,,
ⲅⲁⲣ,1,PTC,Y,for (γάρ),なぜなら(γάρ),car (γάρ),,,
ⲅⲉⲛⲉⲁ,1,N,Y,"generation, race (γενεά)",世代・族(γενεά),génération (γενεά),,,
ⲅⲉⲛⲉⲧⲉⲓⲣⲁ,1,N,Y,begettress (γενέτειρα),産出母,génératrice (γενέτειρα),,,
ⲅⲉⲛⲉⲧⲓⲣⲁ,1,N,Y,begettress (γενέτειρα),産出する母(γενέτειρα),génératrice (γενέτειρα),,,
ⲅⲉⲛⲉⲧⲱⲣ,1,N,Y,begetter (γενέτωρ),産出者(γενέτωρ),engendreur (γενέτωρ),,,
ⲅⲉⲛⲛⲏⲧⲟⲥ,1,ADJ,Y,begotten / -begotten,産出された,engendré (γεννητός),,,
ⲅⲉⲛⲟⲥ,1,N,Y,"race, kind (γένος)",種族・類(γένος),"race, genre (γένος)",,,
ⲇⲉ,1,PTC,Y,"but, now, and (δέ)",しかし・さて(δέ),"or, mais (δέ)",,,
ⲇⲓⲁⲫⲟⲣⲁ,1,N,Y,difference (διαφορά),差異(διαφορά),différence (διαφορά),,,
ⲇⲓⲟⲓⲕⲏ,1,N,Y,governance [pt.] (διοίκησις),統治(部分),gouvernement (διοίκησις) [partie],,,
ⲇⲓⲟⲓⲕⲏⲥⲓⲥ,1,N,Y,governance (διοίκησις),統治・経綸(διοίκησις),gouvernement (διοίκησις),,,
ⲇⲩⲁⲥ,1,N,Y,dyad (δυάς),ドュアス・二者(δυάς),dyade (δυάς),,,
ⲇⲩⲛⲁⲙⲓⲥ,1,N,Y,power (δύναμις),力・デュナミス(δύναμις),puissance (δύναμις),,,
ⲉ,1,PREP,,"to, for, at",～へ・～に,"vers, à, pour",,,
ⲉϩⲟⲩⲛ,1,ADV,,"in, inward, into",中へ・内へ,"dedans, vers l'intérieur",,,
ⲉϩⲣⲁⲓ,1,ADV,,"up / down, on high",上へ・高みに,en haut / en bas,,,
ⲉϫⲙ,1,PREP,,"upon, over",～の上に,"sur, au-dessus de",,,
ⲉϫⲛ,1,PREP,,"upon, over, against",～の上に・に対して,"sur, contre",,,
ⲉⲃⲟⲗ,1,ADV,,"out, forth",外へ・現れ出て,"dehors, au-dehors",,,
ⲉⲃⲟⲧ,1,N,,month,月,mois,,,
ⲉⲓ,1,V,,come,来る,venir,,,
ⲉⲓⲁⲗ,1,N,,mirror,鏡,miroir,,,
ⲉⲓⲙⲉ,1,V,,"know, understand",知る・悟る,"savoir, comprendre",,,
ⲉⲓⲙⲏⲧⲓ,1,CONJ,Y,"except, unless",～を除いて,"sauf, excepté",,,
ⲉⲓⲛⲉ,1,N,,"likeness, image; bring",似姿・像／もたらす,"ressemblance, image ; apporter",,,
ⲉⲓⲣⲉ,1,V,,"do, make",行う・造る,faire,,,
ⲉⲓⲱⲣϩ,1,V,,"behold, gaze at",見つめる,"contempler, fixer du regard",,,
ⲉⲓⲱⲧ,1,N,,father,父,père,,,
ⲉⲕ,1,N,Y,assembly [pt.] (ἐκκλησία),集会(部分),assemblée (ἐκκλησία) [partie],,,
ⲉⲕⲕⲗⲏⲥⲓⲁ,1,N,Y,"assembly, church (ἐκκλησία)",集会・教会(ἐκκλησία),"assemblée, Église (ἐκκλησία)",,,
ⲉⲙⲡⲁⲧⲉ,1,CONV,,before (he/it) yet,～する前に,avant que (il/cela),,,
ⲉⲛⲑⲩⲙⲏⲥⲓⲥ,1,N,Y,reflection (ἐνθύμησις),熟慮(ἐνθύμησις),réflexion (ἐνθύμησις),,,
ⲉⲛⲛⲟⲓⲁ,1,N,Y,"thought, Ennoia (ἔννοια)",思念・エンノイア(ἔννοια),"pensée, Ennoia (ἔννοια)",,,
ⲉⲝⲟⲩⲥⲓⲁ,1,N,Y,"authority, power (ἐξουσία)",権能(ἐξουσία),"autorité, pouvoir (ἐξουσία)",,,
ⲉⲟⲟⲩ,1,N,,"glory, honour",栄光,gloire,,,
ⲉⲣⲉ,1,CONV,,(circumstantial / while),～しつつ(状況),(circonstanciel) tandis que,,,
ⲉⲣⲟ,1,PREP,,to/at (him/it) [ⲉ + suff.],～に(対格),à (lui/cela),,,
ⲉⲧ,1,REL,,"who, which, that (rel.)",～である(関係),"qui, que (relatif)",,,
ⲉⲧⲃⲉ,1,PREP,,"because of, concerning",～のために・について,"à cause de, au sujet de",,,
ⲉⲧⲃⲏⲧ,1,PREP,,concerning (him/it),～について,"à son sujet, le concernant",,,
ⲉⲧⲉ,1,REL,,"which is, namely",すなわち・～である,"qui est, à savoir",,,
ⲉⲧⲓⲣⲁ,1,N,Y,-begettress (γενέτειρα),産出母(部分),génératrice (γενέτειρα) [partie],,,
ⲉⲧⲙⲙⲁⲩ,1,PDEM,,that,かの・その,"ce, celui-là",,,
ⲉⲧⲱⲣ,1,N,Y,-begetter (γενέτωρ),産出者(～ゲネトール),-engendreur (γενέτωρ),,,
ⲉⲩⲅⲛⲱⲥⲧⲟⲥ,1,NPROP,Y,Eugnostos (Εὔγνωστος),エウグノストス(Εὔγνωστος),Eugnostos (Εὔγνωστος),,,
ⲉⲯⲟⲩⲥⲓⲁ,1,N,Y,"authority, power (ἐξουσία)",権能(ἐξουσία),"autorité, pouvoir (ἐξουσία)",,,
ⲉⲱⲛ,1,N,Y,"aeon (αἰών, var.)",アイオーン(異形),"éon (αἰών, var.)",,,
ⲏ,1,CONJ,Y,or,あるいは,ou,,,
ⲏⲡ,1,VSTAT,,"hidden, reckoned",隠された・数えられた,"caché, compté (statif)",,,
ⲏⲡⲉ,1,N,,"number, reckoning",数,nombre,,,
ⲑⲉ,1,N,,"manner, way (in ⲛⲑⲉ 'like')",仕方・様(～のように),"manière, façon (dans ⲛⲑⲉ « comme »)",,,
ⲑⲉⲗⲏⲥⲓⲥ,1,N,Y,"will, volition (θέλησις)",意志(θέλησις),volonté (θέλησις),,,
ⲓ,1,PPER,,"me, I",私,"moi, je",,,
ⲓⲏⲥ,1,NPROP,Y,Jesus (nomen sacrum),イエス(聖名),Jésus (nomen sacrum),,,
ⲓⲥ,1,NPROP,Y,Jesus (nomen sacrum),イエス(聖名),Jésus (nomen sacrum),,,
ⲕ,1,PPER,,you (m. sg.),あなた(男),tu (m.),,,
ⲕⲁϩ,1,N,,"earth, land",地・大地,terre,,,
ⲕⲁⲧⲁ,1,PREP,Y,according to (κατά),～に従って(κατά),selon (κατά),,,
ⲕⲁⲧⲁⲃⲟⲗⲏ,1,N,Y,foundation (καταβολή),創設・基(καταβολή),fondation (καταβολή),,,
ⲕⲉ,1,ADJ,,"other, another",別の・他の,autre,,,
ⲕⲗⲏⲥⲓⲁ,1,N,Y,-(ekkle)sia [pt.],集会(部分),(ekklé)sia [partie],,,
ⲕⲟⲟⲩⲉ,1,N,,others,他の者ら,les autres,,,
ⲕⲟⲥⲙⲟⲥ,1,N,Y,"world, cosmos (κόσμος)",世界・コスモス(κόσμος),"monde, cosmos (κόσμος)",,,
ⲗⲁⲁⲩ,1,N,,"anyone, anything; (none)",誰も・何も(～ない),"quiconque, quoi que ce soit ; (personne)",,,
ⲗⲁⲟⲥ,1,N,Y,people (λαός),民(λαός),peuple (λαός),,,
ⲗⲟⲅⲓⲥⲙⲟⲥ,1,N,Y,reasoning (λογισμός),推論・思考(λογισμός),raisonnement (λογισμός),,,
ⲗⲟⲅⲟⲥ,1,N,Y,"word, reason, Logos (λόγος)",言葉・ロゴス(λόγος),"parole, Logos (λόγος)",,,
ⲙ,1,PREP,,the / in (before labials),その・～に(唇音前),le / dans (devant labiales),,,
ⲙⲁ,1,N,,place,場所,lieu,名詞,noun 'place',
ⲙⲁ,2,V,,give! (imperative),与えよ(命令),donne ! (impératif),ϯ の命令形,imperative of ϯ,
ⲙⲁⲑⲏⲧⲏⲥ,1,N,Y,disciple (μαθητής),弟子(μαθητής),disciple (μαθητής),,,
ⲙⲁⲕⲁⲣⲓⲟⲥ,1,ADJ,Y,blessed (μακάριος),祝福された(μακάριος),bienheureux (μακάριος),,,
ⲙⲁⲣ,1,V,,let (jussive),～させよ,qu'il… (jussif),,,
ⲙⲁⲣⲉ,1,V,,let him… (jussive),～させよ(指令法),qu'il… (jussif),指令法 ⲙⲁⲣⲉ-,jussive,
ⲙⲁⲣⲉ,2,NEG,,(negative aorist) does not,～しない(否定アオリスト),ne fait pas (aoriste nég.),否定アオリスト,negative aorist,
ⲙⲉ,1,NEG,,not (negative habitual),～しない(否定・習慣相),ne… pas (habituel nég.),動詞接頭の否定,verbal negation,
ⲙⲉ,2,N,,truth; love,真理／愛,vérité ; amour,名詞,noun ⲙⲉ/ⲙⲁⲓ,
ⲙⲉϩ,1,NUM,,(ordinal prefix) -th; fill,第～(序数)／満たす,(ordinal) -ième ; remplir,,,
ⲙⲉⲉⲩⲉ,1,N,,"thought, mind; think",思い・考える,pensée ; penser,,,
ⲙⲉⲗⲟⲥ,1,N,Y,"member, limb (μέλος)",肢体(μέλος),membre (μέλος),,,
ⲙⲉⲛ,1,PTC,Y,on the one hand (μέν),一方では(μέν),d'une part (μέν),,,
ⲙⲉⲣⲟⲥ,1,N,Y,part (μέρος),部分(μέρος),partie (μέρος),,,
ⲙⲉⲧⲉ,1,N,,"mind, thought, assent",思念・同意,"pensée, assentiment",,,
ⲙⲉⲩ,1,NEG,,they do not (neg.),彼らは～しない,ils ne … pas,,,
ⲙⲏ,1,PTC,,(interrogative particle),疑問の助詞,(particule interrogative),疑問,yes/no question,
ⲙⲏ,2,N,,multitude (var. of ⲙⲏⲏϣⲉ),多数(ⲙⲏⲏϣⲉの異形),multitude (var.),名詞(異形),variant,
ⲙⲏⲏϣⲉ,1,N,,"multitude, crowd",群衆・多数,"foule, multitude",,,
ⲙⲏⲛ,1,V,,"remain, continue, abide",留まる・続く,"demeurer, persister",,,
ⲙⲙⲁⲩ,1,ADV,,there / that,そこ・かの,là / ce,,,
ⲙⲙⲓⲛ,1,ADV,,(him)self (own),自身・自ら,soi-même (propre),,,
ⲙⲙⲛ,1,NEG,,there is no,～が無い,il n'y a pas,,,
ⲙⲙⲛⲧ,1,NEG,,there is no (+ noun),～が無い,il n'y a pas (+ nom),,,
ⲙⲙⲛⲧϩⲟⲟⲩⲧ,1,N,,"in maleness, masculine",男性として,en (tant que) masculinité,,,
ⲙⲙⲛⲧⲣⲣⲁⲓ,1,N,,kingdoms,王国群,royaumes,,,
ⲙⲙⲛⲧⲣⲣⲟ,1,N,,kingdom (pl./prep.),王国(複/前),royaume (pl./prép.),,,
ⲙⲙⲛⲧⲥϩⲓⲙⲉ,1,N,,"in femaleness, feminine",女性として,en (tant que) féminité,,,
ⲙⲙⲟ,1,PREP,,(direct object marker) him/it,～を(目的格),"(objet) le, cela",,,
ⲙⲛ,1,NEG,,there is no,～が無い,il n'y a pas,存在否定,negative existential,
ⲙⲛ,2,PREP,,with; and,～と共に／および,avec ; et,前置詞・連結,comitative 'with/and',
ⲙⲛⲧ,1,NUM,,ten / (abstract prefix),十／(抽象名詞接頭),dix / (préf. abstrait),,,
ⲙⲛⲧϩⲟⲟⲩⲧ,1,N,,"maleness, masculinity",男性性,masculinité,,,
ⲙⲛⲧⲁ,1,NEG,,"has not, lacks",～を持たない,"n'a pas, manque de",,,
ⲙⲛⲧⲁⲧϭⲟⲙ,1,N,,"powerlessness, weakness",無力,"impuissance, faiblesse",,,
ⲙⲛⲧⲛⲟϭ,1,N,,"greatness, magnitude",偉大さ,grandeur,,,
ⲙⲛⲧⲛⲟⲩⲧⲉ,1,N,,"divinity, godhead",神性,divinité,,,
ⲙⲛⲧⲟⲩⲁ,1,N,,"unity, oneness",単一性・一致,unité,,,
ⲙⲛⲧⲣⲣⲟ,1,N,,"kingdom, kingship",王国・王権,"royaume, royauté",,,
ⲙⲛⲧⲥⲛⲟⲟⲩⲥ,1,NUM,,twelve,十二,douze,,,
ⲙⲛⲧⲥⲟϭ,1,N,,"folly, foolishness",愚かさ,"folie, sottise",,,
ⲙⲟⲛⲁⲥ,1,N,Y,"monad, unit (μονάς)",モナド・一者(μονάς),monade (μονάς),,,
ⲙⲟⲟϣⲉ,1,V,,"walk, go",歩む・行く,"marcher, aller",,,
ⲙⲟⲣⲫⲏ,1,N,Y,"form, shape (μορφή)",形・モルフェー(μορφή),forme (μορφή),,,
ⲙⲟⲩ,1,N,,death / die,死／死ぬ,mourir ; mort,,,
ⲙⲟⲩϣⲧ,1,V,,"examine, search",探る・調べる,"examiner, scruter",,,
ⲙⲟⲩⲧⲉ,1,V,,"call, name",呼ぶ・名づける,"appeler, nommer",,,
ⲙⲡ,1,NEG,,did not (neg. past),～しなかった(否定過去),ne pas (passé nég.),,,
ⲙⲡⲁⲧ,1,CONV,,not yet,まだ～ない,pas encore,,,
ⲙⲡⲉ,1,NEG,,did not (neg. past),～しなかった(否定過去),ne fit pas (passé nég.),,,
ⲙⲧⲟⲛ,1,V,,"rest, repose",憩う・安らぐ,se reposer ; repos,,,
ⲛ,1,PREP,,"of / to / in (gen., prep.)",～の・～に(属格・前置詞),"de / à / dans (gén., prép.)",,,
ⲛϩⲏⲧ,1,PREP,,"in (him/it), within",～の内に,"dans (lui/cela), au-dedans",,,
ⲛϩⲏⲧϥ,1,PREP,,"in him/it, within it",その内に,en lui/cela,,,
ⲛϩⲟⲟⲩⲧⲥϩⲓⲙⲉ,1,N,,"male-female, androgynous",両性具有の,androgyne,,,
ⲛϭⲓ,1,PTC,,namely (marks the subject),すなわち(主語標識),à savoir (marque le sujet),,,
ⲛⲁ,1,AUX,,"(future) will, shall",未来(～だろう),"(futur) va, -ra",未来助動詞 ⲛⲁ-,future auxiliary,
